round/node,0,1,2,3,4,5,6,7,num_shards,changes,divides
0,1064190,66229,40920,30051,23369,19479,16875,14634,16000,,
5,5899698,371161,228447,164065,130922,107791,89624,79261,16000,,
10,6078999,377186,236218,168736,132100,109176,94570,80098,16000,,
15,1393425,820324,820450,821072,819082,821791,818277,823311,16000,1999,
20,1383477,805733,810629,817506,808248,810010,809108,812082,16000,,
25,1392270,818499,813316,814204,812258,813755,815766,816710,16000,,
30,1399103,819248,820514,823922,819393,821498,818610,820611,16000,0,
35,1431257,838122,833099,843510,842597,834396,831449,838384,16000,,
40,1401319,820346,817081,820330,818208,819510,823925,817818,16000,,
45,1372904,809724,806830,811728,808088,802989,808679,806937,16000,0,
50,1396572,819638,816709,832071,817851,815667,818863,818361,16000,,
55,1400327,826187,822690,827885,825344,818150,828572,823098,16000,,
60,1427339,832654,839418,827899,831316,842567,829579,832679,16000,1,
